files,galaxy,filter
40415_1_3,smc,uvw1
40416_1_1,smc,uvw1
40416_1_2,smc,uvw1
40421_2_1,smc,uvw1
40421_2_2,smc,uvw1
40421_4_2,smc,uvw1
40423_1_1,smc,uvw1
40426_4_2,smc,uvw1
40427_3_1,smc,uvw1
40427_3_2,smc,uvw1
40428_2_1,smc,uvw1
40428_2_2,smc,uvw1
40429_1_2,smc,uvw1
40430_2_2,smc,uvw1
40431_2_1,smc,uvw1
40433_1_1,smc,uvw1
40434_2_2,smc,uvw1
40435_3_1,smc,uvw1
40436_2_1,smc,uvw1
40436_2_2,smc,uvw1
40445_3_2,smc,uvw1
40445_3_3,smc,uvw1
40448_2_4,smc,uvw1
40454_1_2,smc,uvw1
40457_1_2,smc,uvw1
40458_2_2,smc,uvw1
40461_1_4,smc,uvw1
40415_1_2,smc,uvm2
40416_1_2,smc,uvm2
40419_2_1,smc,uvm2
40421_2_2,smc,uvm2
40421_4_1,smc,uvm2
40421_4_3,smc,uvm2
40426_4_2,smc,uvm2
40427_3_1,smc,uvm2
40428_2_1,smc,uvm2
40428_2_3,smc,uvm2
40429_1_2,smc,uvm2
40433_1_1,smc,uvm2
40433_4_1,smc,uvm2
40434_2_2,smc,uvm2
40436_2_1,smc,uvm2
40436_2_2,smc,uvm2
40444_1_2,smc,uvm2
40445_3_1,smc,uvm2
40451_1_3,smc,uvm2
40453_1_2,smc,uvm2
40454_1_2,smc,uvm2
40457_1_2,smc,uvm2
40415_1_2,smc,uvw2
40419_1_2,smc,uvw2
40419_2_1,smc,uvw2
40421_4_1,smc,uvw2
40421_4_4,smc,uvw2
40425_4_1,smc,uvw2
40425_4_3,smc,uvw2
40426_4_1,smc,uvw2
40426_4_2,smc,uvw2
40427_3_1,smc,uvw2
40427_3_2,smc,uvw2
40428_1_2,smc,uvw2
40428_2_2,smc,uvw2
40429_1_2,smc,uvw2
40430_3_1,smc,uvw2
40431_2_1,smc,uvw2
40433_1_1,smc,uvw2
40433_4_1,smc,uvw2
40436_2_2,smc,uvw2
40440_2_1,smc,uvw2
40445_3_1,smc,uvw2
40445_3_2,smc,uvw2
40446_2_1,smc,uvw2
40446_3_2,smc,uvw2
40451_1_1,smc,uvw2
40454_1_2,smc,uvw2
40457_1_2,smc,uvw2
40458_2_2,smc,uvw2
40459_2_1,smc,uvw2
40461_2_2,smc,uvw2
