SUMS_ID,Galaxy,RA,Dec,Ranking,UVW2,UVW2_err,UVM2,UVM2_err,UVW1,UVW1_err,U,U_err,B,B_err,V,V_err,I,I_err,UVW2_std,UVM2_std,UVW1_std,UVW2_flux_frac,UVM2_flux_frac,UVW1_flux_frac,UVW2_resid_frac,UVM2_resid_frac,UVW1_resid_frac,UVW2_dist_moved,UVM2_dist_moved,UVW1_dist_moved,UVW2_dist_neighbor,UVM2_dist_neighbor,UVW1_dist_neighbor,UVW2_n5,UVM2_n5,UVW1_n5,UVW2_n2p5,UVM2_n2p5,UVW1_n2p5,UVW2_nobs,UVM2_nobs,UVW1_nobs,Gaia_chi2
SUMS_8c793,SMC,10.414935,-73.37741,B-E,18.38,0.05,18.22,0.07,18.23,0.04,,,17.6075260924053,0.05,18.91129879298842,0.111,19.545399283711124,0.09,0.02,,0.05,0.89,0.96,0.92,0.21,0.23,0.23,0.33,0.22,0.3,2.4,2.55,2.47,1.0,1.0,2.0,1,0,1,2.0,1.0,3.0,0.1
SUMS_8dcf2,SMC,10.788915,-73.38922,VB-G,19.73,0.14,,,19.32,0.14,19.980063684656457,0.154,19.742526092405303,0.044,19.800298792988418,0.087,,,,,,0.42,,0.44,0.3,,0.3,0.03,,0.03,3.99,,3.93,1.0,,2.0,0,0,0,1.0,,1.0,3.2
SUMS_8dfe4,SMC,10.831395,-73.65979,B-G,17.44,0.03,17.22,0.04,17.21,0.03,18.105063684656457,0.064,17.8125260924053,0.084,17.93329879298842,0.059,18.34639928371113,0.091,0.32,0.11,0.07,0.25,0.28,0.3,0.04,0.05,0.06,0.17,0.12,0.1,1.54,1.58,1.58,2.0,2.0,2.0,1,1,1,2.0,2.0,2.0,1.8
SUMS_8e095,SMC,10.84185,-72.96929,B-G,19.17,0.07,19.23,0.14,19.1,0.07,19.282063684656457,0.11,19.1835260924053,0.024,19.33029879298842,0.042,19.85539928371113,0.07,0.03,,0.19,0.13,0.12,0.14,0.19,0.19,0.16,0.03,0.02,0.02,3.28,3.26,3.27,1.0,1.0,1.0,0,0,0,3.0,1.0,5.0,0.4
SUMS_8fd2c,SMC,11.182875,-73.40796,B-E,18.68,0.06,18.6,0.06,18.6,0.05,18.72706368465645,0.06,18.887526092405302,0.066,18.922298792988418,0.064,19.38139928371113,0.099,0.0,0.03,0.09,0.94,0.96,0.9,0.08,0.09,0.07,0.09,0.07,0.08,1.87,1.81,1.81,2.0,3.0,1.0,1,1,1,3.0,2.0,3.0,2.0
SUMS_9029a,SMC,11.24199,-73.00878,B-E,19.29,0.08,,,19.48,0.11,19.514063684656456,0.0819999999999999,19.3445260924053,0.06,19.52029879298842,0.045,20.186399283711125,0.085,0.02,,0.09,0.7,,0.68,0.23,,0.21,0.02,,0.01,4.15,,4.13,2.0,,2.0,0,0,0,3.0,,4.0,0.3
SUMS_912e3,SMC,11.411625,-73.29263,B-G,19.28,0.06,19.2,0.07,19.31,0.08,19.421063684656456,0.071,19.239526092405303,0.057,19.405298792988415,0.099,20.04739928371113,0.147,0.04,0.13,0.08,0.13,0.12,0.1,0.19,0.16,0.13,0.04,0.02,0.03,2.72,2.75,2.77,3.0,3.0,3.0,0,0,0,7.0,5.0,5.0,0.3
SUMS_9484f,SMC,11.838675,-73.11092,VB-G,,,18.94,0.18,18.68,0.1,20.998063684656454,,19.547526092405302,0.066,19.146298792988414,0.092,20.577399283711124,0.177,,,0.18,,0.06,0.91,,0.19,0.15,,0.01,0.08,,3.38,4.9,,3.0,1.0,0,0,0,,1.0,3.0,25.0
SUMS_949ac,SMC,11.847465,-73.38450999999998,B-G,19.57,0.14,19.3,0.14,19.29,0.14,19.716063684656454,0.09,19.5305260924053,0.073,19.56929879298842,0.09,20.014399283711125,0.098,0.03,0.07,0.2,0.11,0.14,0.15,0.13,0.1,0.09,0.02,0.03,0.01,2.72,2.68,2.62,3.0,2.0,2.0,0,0,0,2.0,2.0,2.0,67.5
SUMS_95a84,SMC,11.962635,-73.14296,VB-G,17.96,0.05,18.16,0.06,18.32,0.07,20.375063684656457,0.177,19.1005260924053,0.062,19.10529879298842,0.126,19.350399283711127,0.086,0.08,0.27,0.04,0.35,0.25,0.23,0.17,0.08,0.03,0.23,0.09,0.1,2.61,2.86,2.66,3.0,3.0,3.0,0,0,0,5.0,4.0,4.0,3.7
